tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	magic_software_packages	sample_azimuth	sample_bed_dip	sample_bed_dip_direction	sample_dip
This study	unknown	is002f	is002	FS-FD:SO-NO	pmagpy-2.190	314.0	5.0	59.0	90.0
This study	unknown	is002g	is002	FS-FD:SO-NO	pmagpy-2.190	81.0	5.0	59.0	51.0
This study	unknown	is002h	is002	FS-FD:SO-NO	pmagpy-2.190	86.0	5.0	59.0	81.0
This study	unknown	is002i	is002	FS-FD:SO-NO	pmagpy-2.190	83.0	5.0	59.0	87.0
This study	unknown	is002j	is002	FS-FD:SO-NO	pmagpy-2.190	79.0	5.0	59.0	26.0
This study	unknown	is002k	is002	FS-FD:SO-NO	pmagpy-2.190	134.0	5.0	59.0	72.0
This study	unknown	is003a	is003	FS-FD:SO-NO	pmagpy-2.190	292.0	5.0	59.0	47.0
This study	unknown	is003b	is003	FS-FD:SO-NO	pmagpy-2.190	257.0	5.0	59.0	66.0
This study	unknown	is003c	is003	FS-FD:SO-NO	pmagpy-2.190	212.0	5.0	59.0	71.0
This study	unknown	is003d	is003	FS-FD:SO-NO	pmagpy-2.190	233.0	5.0	59.0	65.0
This study	unknown	is003e	is003	FS-FD:SO-NO	pmagpy-2.190	185.0	5.0	59.0	69.0
This study	unknown	is003f	is003	FS-FD:SO-NO	pmagpy-2.190	242.0	5.0	59.0	69.0
This study	unknown	is003g	is003	FS-FD:SO-NO	pmagpy-2.190	242.0	5.0	59.0	73.0
This study	unknown	is003h	is003	FS-FD:SO-NO	pmagpy-2.190	298.0	5.0	59.0	22.0
This study	unknown	is003i	is003	FS-FD:SO-NO	pmagpy-2.190	329.0	5.0	59.0	38.0
This study	unknown	is003j	is003	FS-FD:SO-NO	pmagpy-2.190	330.0	5.0	59.0	41.0
This study	unknown	is004a	is004	FS-FD:SO-NO	pmagpy-2.190	260.0	5.0	59.0	56.0
This study	unknown	is004b	is004	FS-FD:SO-NO	pmagpy-2.190	269.0	5.0	59.0	44.0
This study	unknown	is004c	is004	FS-FD:SO-NO	pmagpy-2.190	326.0	5.0	59.0	51.0
This study	unknown	is004d	is004	FS-FD:SO-NO	pmagpy-2.190	271.0	5.0	59.0	69.0
This study	unknown	is004e	is004	FS-FD:SO-NO	pmagpy-2.190	320.0	5.0	59.0	63.0
This study	unknown	is004f	is004	FS-FD:SO-NO	pmagpy-2.190	311.0	5.0	59.0	104.0
This study	unknown	is005a	is005	FS-FD:SO-NO	pmagpy-2.190	237.0	5.0	59.0	55.0
This study	unknown	is005b	is005	FS-FD:SO-NO	pmagpy-2.190	307.0	5.0	59.0	62.0
This study	unknown	is005c	is005	FS-FD:SO-NO	pmagpy-2.190	307.0	5.0	59.0	71.0
This study	unknown	is005d	is005	FS-FD:SO-NO	pmagpy-2.190	195.0	5.0	59.0	77.0
This study	unknown	is005e	is005	FS-FD:SO-NO	pmagpy-2.190	197.0	5.0	59.0	85.0
This study	unknown	is005f	is005	FS-FD:SO-NO	pmagpy-2.190	222.0	5.0	59.0	42.0
This study	unknown	is005g	is005	FS-FD:SO-NO	pmagpy-2.190	188.0	5.0	59.0	60.0
This study	unknown	is005h	is005	FS-FD:SO-NO	pmagpy-2.190	202.0	5.0	59.0	51.0
This study	unknown	is005i	is005	FS-FD:SO-NO	pmagpy-2.190	219.0	5.0	59.0	51.0
This study	unknown	is006a	is006	FS-FD:SO-NO	pmagpy-2.190	292.0	5.0	59.0	68.0
This study	unknown	is006b	is006	FS-FD:SO-NO	pmagpy-2.190	259.0	5.0	59.0	77.0
This study	unknown	is006c	is006	FS-FD:SO-NO	pmagpy-2.190	288.0	5.0	59.0	77.0
This study	unknown	is006d	is006	FS-FD:SO-NO	pmagpy-2.190	5.0	5.0	59.0	57.0
This study	unknown	is006e	is006	FS-FD:SO-NO	pmagpy-2.190	333.0	5.0	59.0	56.0
This study	unknown	is006f	is006	FS-FD:SO-NO	pmagpy-2.190	280.0	5.0	59.0	77.0
This study	unknown	is006g	is006	FS-FD:SO-NO	pmagpy-2.190	234.0	5.0	59.0	52.0
This study	unknown	is006h	is006	FS-FD:SO-NO	pmagpy-2.190	279.0	5.0	59.0	63.0
This study	unknown	is006i	is006	FS-FD:SO-NO	pmagpy-2.190	202.0	5.0	59.0	54.0
This study	unknown	is006j	is006	FS-FD:SO-NO	pmagpy-2.190	207.0	5.0	59.0	3.0
This study	unknown	is006k	is006	FS-FD:SO-NO	pmagpy-2.190	267.0	5.0	59.0	71.0
This study	unknown	is006l	is006	FS-FD:SO-NO	pmagpy-2.190	272.0	5.0	59.0	80.0
This study	unknown	is007a	is007	FS-FD:SO-NO	pmagpy-2.190	248.0	5.0	59.0	34.0
This study	unknown	is007b	is007	FS-FD:SO-NO	pmagpy-2.190	268.0	5.0	59.0	70.0
This study	unknown	is007c	is007	FS-FD:SO-NO	pmagpy-2.190	322.0	5.0	59.0	69.0
This study	unknown	is007d	is007	FS-FD:SO-NO	pmagpy-2.190	261.0	5.0	59.0	38.0
This study	unknown	is007e	is007	FS-FD:SO-NO	pmagpy-2.190	279.0	5.0	59.0	54.0
This study	unknown	is007f	is007	FS-FD:SO-NO	pmagpy-2.190	263.0	5.0	59.0	56.0
This study	unknown	is007g	is007	FS-FD:SO-NO	pmagpy-2.190	240.0	5.0	59.0	47.0
This study	unknown	is007h	is007	FS-FD:SO-NO	pmagpy-2.190	260.0	5.0	59.0	76.0
This study	unknown	is007i	is007	FS-FD:SO-NO	pmagpy-2.190	220.0	5.0	59.0	78.0
This study	unknown	is007j	is007	FS-FD:SO-NO	pmagpy-2.190	233.0	5.0	59.0	41.0
This study	unknown	is007k	is007	FS-FD:SO-NO	pmagpy-2.190	213.0	5.0	59.0	44.0
This study	unknown	is008a	is008	FS-FD:SO-NO	pmagpy-2.190	245.0	5.0	59.0	73.0
This study	unknown	is008b	is008	FS-FD:SO-NO	pmagpy-2.190	263.0	5.0	59.0	55.0
This study	unknown	is008c	is008	FS-FD:SO-NO	pmagpy-2.190	245.0	5.0	59.0	31.0
This study	unknown	is008d	is008	FS-FD:SO-NO	pmagpy-2.190	233.0	5.0	59.0	59.0
This study	unknown	is008e	is008	FS-FD:SO-NO	pmagpy-2.190	295.0	5.0	59.0	72.0
This study	unknown	is008f	is008	FS-FD:SO-NO	pmagpy-2.190	227.0	5.0	59.0	69.0
This study	unknown	is008g	is008	FS-FD:SO-NO	pmagpy-2.190	268.0	5.0	59.0	72.0
This study	unknown	is008h	is008	FS-FD:SO-NO	pmagpy-2.190	221.0	5.0	59.0	51.0
This study	unknown	is008i	is008	FS-FD:SO-NO	pmagpy-2.190	224.0	5.0	59.0	59.0
This study	unknown	is009a	is009	FS-FD:SO-NO	pmagpy-2.190	301.0	5.0	59.0	88.0
This study	unknown	is009b	is009	FS-FD:SO-NO	pmagpy-2.190	246.0	5.0	59.0	81.0
This study	unknown	is009c	is009	FS-FD:SO-NO	pmagpy-2.190	292.0	5.0	59.0	74.0
This study	unknown	is009d	is009	FS-FD:SO-NO	pmagpy-2.190	254.0	5.0	59.0	67.0
This study	unknown	is009e	is009	FS-FD:SO-NO	pmagpy-2.190	229.0	5.0	59.0	83.0
This study	unknown	is009f	is009	FS-FD:SO-NO	pmagpy-2.190	232.0	5.0	59.0	64.0
This study	unknown	is009g	is009	FS-FD:SO-NO	pmagpy-2.190	213.0	5.0	59.0	75.0
This study	unknown	is009h	is009	FS-FD:SO-NO	pmagpy-2.190	213.0	5.0	59.0	56.0
This study	unknown	is009i	is009	FS-FD:SO-NO	pmagpy-2.190	199.0	5.0	59.0	33.0
This study	unknown	is009j	is009	FS-FD:SO-NO	pmagpy-2.190	201.0	5.0	59.0	29.0
This study	unknown	is010a	is010	FS-FD:SO-NO	pmagpy-2.190	229.0	5.0	59.0	82.0
This study	unknown	is010b	is010	FS-FD:SO-NO	pmagpy-2.190	193.0	5.0	59.0	89.0
This study	unknown	is010c	is010	FS-FD:SO-NO	pmagpy-2.190	246.0	5.0	59.0	53.0
This study	unknown	is010d	is010	FS-FD:SO-NO	pmagpy-2.190	199.0	5.0	59.0	70.0
This study	unknown	is010e	is010	FS-FD:SO-NO	pmagpy-2.190	156.0	5.0	59.0	66.0
This study	unknown	is010f	is010	FS-FD:SO-NO	pmagpy-2.190	151.0	5.0	59.0	78.0
This study	unknown	is010g	is010	FS-FD:SO-NO	pmagpy-2.190	281.0	5.0	59.0	67.0
This study	unknown	is010h	is010	FS-FD:SO-NO	pmagpy-2.190	227.0	5.0	59.0	82.0
This study	unknown	is010i	is010	FS-FD:SO-NO	pmagpy-2.190	158.0	5.0	59.0	64.0
This study	unknown	is010j	is010	FS-FD:SO-NO	pmagpy-2.190	232.0	5.0	59.0	19.0
This study	unknown	is010k	is010	FS-FD:SO-NO	pmagpy-2.190	220.0	5.0	59.0	65.0
This study	unknown	is011a	is011	FS-FD:SO-NO	pmagpy-2.190	268.0	5.0	59.0	83.0
This study	unknown	is011b	is011	FS-FD:SO-NO	pmagpy-2.190	284.0	5.0	59.0	85.0
This study	unknown	is011c	is011	FS-FD:SO-NO	pmagpy-2.190	271.0	5.0	59.0	82.0
This study	unknown	is011d	is011	FS-FD:SO-NO	pmagpy-2.190	155.0	5.0	59.0	78.0
This study	unknown	is011e	is011	FS-FD:SO-NO	pmagpy-2.190	271.0	5.0	59.0	85.0
This study	unknown	is011f	is011	FS-FD:SO-NO	pmagpy-2.190	262.0	5.0	59.0	69.0
This study	unknown	is011g	is011	FS-FD:SO-NO	pmagpy-2.190	258.0	5.0	59.0	68.0
This study	unknown	is011h	is011	FS-FD:SO-NO	pmagpy-2.190	192.0	5.0	59.0	83.0
This study	unknown	is011i	is011	FS-FD:SO-NO	pmagpy-2.190	313.0	5.0	59.0	86.0
This study	unknown	is011j	is011	FS-FD:SO-NO	pmagpy-2.190	274.0	5.0	59.0	74.0
This study	unknown	is011k	is011	FS-FD:SO-NO	pmagpy-2.190	234.0	5.0	59.0	90.0
This study	unknown	is011l	is011	FS-FD:SO-NO	pmagpy-2.190	160.0	5.0	59.0	45.0
This study	unknown	is011m	is011	FS-FD:SO-NO	pmagpy-2.190	163.0	5.0	59.0	60.0
This study	unknown	is011n	is011	FS-FD:SO-NO	pmagpy-2.190	229.0	5.0	59.0	62.0
This study	unknown	is011o	is011	FS-FD:SO-NO	pmagpy-2.190	250.0	5.0	59.0	45.0
This study	unknown	is011p	is011	FS-FD:SO-NO	pmagpy-2.190	256.0	5.0	59.0	9.0
This study	unknown	is011q	is011	FS-FD:SO-NO	pmagpy-2.190	213.0	5.0	59.0	43.0
This study	unknown	is012a	is012	FS-FD:SO-NO	pmagpy-2.190	234.0	5.0	59.0	80.0
This study	unknown	is012b	is012	FS-FD:SO-NO	pmagpy-2.190	143.0	5.0	59.0	77.0
This study	unknown	is012c	is012	FS-FD:SO-NO	pmagpy-2.190	126.0	5.0	59.0	57.0
This study	unknown	is012d	is012	FS-FD:SO-NO	pmagpy-2.190	191.0	5.0	59.0	36.0
This study	unknown	is012e	is012	FS-FD:SO-NO	pmagpy-2.190	149.0	5.0	59.0	71.0
This study	unknown	is012f	is012	FS-FD:SO-NO	pmagpy-2.190	190.0	5.0	59.0	29.0
This study	unknown	is012g	is012	FS-FD:SO-NO	pmagpy-2.190	194.0	5.0	59.0	66.0
This study	unknown	is012h	is012	FS-FD:SO-NO	pmagpy-2.190	184.0	5.0	59.0	40.0
This study	unknown	is012i	is012	FS-FD:SO-NO	pmagpy-2.190	194.0	5.0	59.0	24.0
This study	unknown	is013a	is013	FS-FD:SO-NO	pmagpy-2.190	225.0	5.0	59.0	85.0
This study	unknown	is013b	is013	FS-FD:SO-NO	pmagpy-2.190	205.0	5.0	59.0	76.0
This study	unknown	is013c	is013	FS-FD:SO-NO	pmagpy-2.190	189.0	5.0	59.0	58.0
This study	unknown	is013d	is013	FS-FD:SO-NO	pmagpy-2.190	245.0	5.0	59.0	61.0
This study	unknown	is013e	is013	FS-FD:SO-NO	pmagpy-2.190	265.0	5.0	59.0	57.0
This study	unknown	is013f	is013	FS-FD:SO-NO	pmagpy-2.190	197.0	5.0	59.0	78.0
This study	unknown	is013g	is013	FS-FD:SO-NO	pmagpy-2.190	224.0	5.0	59.0	49.0
This study	unknown	is013h	is013	FS-FD:SO-NO	pmagpy-2.190	234.0	5.0	59.0	61.0
This study	unknown	is013i	is013	FS-FD:SO-NO	pmagpy-2.190	226.0	5.0	59.0	67.0
This study	unknown	is014a	is014	FS-FD:SO-NO	pmagpy-2.190	247.0	5.0	59.0	63.0
This study	unknown	is014b	is014	FS-FD:SO-NO	pmagpy-2.190	200.0	5.0	59.0	75.0
This study	unknown	is014c	is014	FS-FD:SO-NO	pmagpy-2.190	276.0	5.0	59.0	93.0
This study	unknown	is014d	is014	FS-FD:SO-NO	pmagpy-2.190	184.0	5.0	59.0	93.0
This study	unknown	is014e	is014	FS-FD:SO-NO	pmagpy-2.190	183.0	5.0	59.0	86.0
This study	unknown	is014f	is014	FS-FD:SO-NO	pmagpy-2.190	198.0	5.0	59.0	78.0
This study	unknown	is014g	is014	FS-FD:SO-NO	pmagpy-2.190	267.0	5.0	59.0	92.0
This study	unknown	is014h	is014	FS-FD:SO-NO	pmagpy-2.190	187.0	5.0	59.0	82.0
This study	unknown	is014i	is014	FS-FD:SO-NO	pmagpy-2.190	260.0	5.0	59.0	67.0
This study	unknown	is014j	is014	FS-FD:SO-NO	pmagpy-2.190	266.0	5.0	59.0	72.0
This study	unknown	is014k	is014	FS-FD:SO-NO	pmagpy-2.190	241.0	5.0	59.0	21.0
This study	unknown	is014m	is014	FS-FD:SO-NO	pmagpy-2.190	139.0	5.0	59.0	42.0
This study	unknown	is014n	is014	FS-FD:SO-NO	pmagpy-2.190	199.0	5.0	59.0	6.0
This study	unknown	is014o	is014	FS-FD:SO-NO	pmagpy-2.190	240.0	5.0	59.0	17.0
This study	unknown	is014p	is014	FS-FD:SO-NO	pmagpy-2.190	257.0	5.0	59.0	33.0
This study	unknown	is015a	is015	FS-FD:SO-NO	pmagpy-2.190	230.0	5.0	59.0	40.0
This study	unknown	is015b	is015	FS-FD:SO-NO	pmagpy-2.190	226.0	5.0	59.0	47.0
This study	unknown	is015c	is015	FS-FD:SO-NO	pmagpy-2.190	235.0	5.0	59.0	30.0
This study	unknown	is015d	is015	FS-FD:SO-NO	pmagpy-2.190	222.0	5.0	59.0	59.0
This study	unknown	is015e	is015	FS-FD:SO-NO	pmagpy-2.190	260.0	5.0	59.0	67.0
This study	unknown	is015f	is015	FS-FD:SO-NO	pmagpy-2.190	242.0	5.0	59.0	25.0
This study	unknown	is015g	is015	FS-FD:SO-NO	pmagpy-2.190	219.0	5.0	59.0	32.0
This study	unknown	is015h	is015	FS-FD:SO-NO	pmagpy-2.190	237.0	5.0	59.0	59.0
This study	unknown	is016a	is016	FS-FD:SO-NO	pmagpy-2.190	298.0	5.0	59.0	47.0
This study	unknown	is016b	is016	FS-FD:SO-NO	pmagpy-2.190	301.0	5.0	59.0	46.0
This study	unknown	is016c	is016	FS-FD:SO-NO	pmagpy-2.190	279.0	5.0	59.0	72.0
This study	unknown	is016d	is016	FS-FD:SO-NO	pmagpy-2.190	313.0	5.0	59.0	69.0
This study	unknown	is016e	is016	FS-FD:SO-NO	pmagpy-2.190	275.0	5.0	59.0	61.0
This study	unknown	is016f	is016	FS-FD:SO-NO	pmagpy-2.190	223.0	5.0	59.0	68.0
This study	unknown	is016g	is016	FS-FD:SO-NO	pmagpy-2.190	213.0	5.0	59.0	71.0
This study	unknown	is016h	is016	FS-FD:SO-NO	pmagpy-2.190	227.0	5.0	59.0	63.0
This study	unknown	is016i	is016	FS-FD:SO-NO	pmagpy-2.190	178.0	5.0	59.0	22.0
This study	unknown	is016j	is016	FS-FD:SO-NO	pmagpy-2.190	223.0	5.0	59.0	15.0
This study	unknown	is016k	is016	FS-FD:SO-NO	pmagpy-2.190	224.0	5.0	59.0	22.0
This study	unknown	is017a	is017	FS-FD:SO-NO	pmagpy-2.190	256.0	5.0	59.0	51.0
This study	unknown	is017c	is017	FS-FD:SO-NO	pmagpy-2.190	221.0	5.0	59.0	41.0
This study	unknown	is017d	is017	FS-FD:SO-NO	pmagpy-2.190	205.0	5.0	59.0	67.0
This study	unknown	is017e	is017	FS-FD:SO-NO	pmagpy-2.190	268.0	5.0	59.0	67.0
This study	unknown	is017f	is017	FS-FD:SO-NO	pmagpy-2.190	277.0	5.0	59.0	67.0
This study	unknown	is017g	is017	FS-FD:SO-NO	pmagpy-2.190	289.0	5.0	59.0	64.0
This study	unknown	is017h	is017	FS-FD:SO-NO	pmagpy-2.190	284.0	5.0	59.0	69.0
This study	unknown	is017i	is017	FS-FD:SO-NO	pmagpy-2.190	300.0	5.0	59.0	56.0
This study	unknown	is017j	is017	FS-FD:SO-NO	pmagpy-2.190	254.0	5.0	59.0	31.0
This study	unknown	is017k	is017	FS-FD:SO-NO	pmagpy-2.190	252.0	5.0	59.0	35.0
This study	unknown	is017l	is017	FS-FD:SO-NO	pmagpy-2.190	256.0	5.0	59.0	38.0
This study	unknown	is018a	is018	FS-FD:SO-NO	pmagpy-2.190	204.0	5.0	59.0	59.0
This study	unknown	is018b	is018	FS-FD:SO-NO	pmagpy-2.190	222.0	5.0	59.0	81.0
This study	unknown	is018c	is018	FS-FD:SO-NO	pmagpy-2.190	249.0	5.0	59.0	49.0
This study	unknown	is018d	is018	FS-FD:SO-NO	pmagpy-2.190	206.0	5.0	59.0	54.0
This study	unknown	is018e	is018	FS-FD:SO-NO	pmagpy-2.190	194.0	5.0	59.0	73.0
This study	unknown	is018f	is018	FS-FD:SO-NO	pmagpy-2.190	142.0	5.0	59.0	84.0
This study	unknown	is018g	is018	FS-FD:SO-NO	pmagpy-2.190	302.0	5.0	59.0	80.0
This study	unknown	is018h	is018	FS-FD:SO-NO	pmagpy-2.190	262.0	5.0	59.0	66.0
This study	unknown	is018i	is018	FS-FD:SO-NO	pmagpy-2.190	230.0	5.0	59.0	53.0
This study	unknown	is018j	is018	FS-FD:SO-NO	pmagpy-2.190	262.0	5.0	59.0	13.0
This study	unknown	is018k	is018	FS-FD:SO-NO	pmagpy-2.190	206.0	5.0	59.0	18.0
This study	unknown	is019a	is019	FS-FD:SO-NO	pmagpy-2.190	224.0	5.0	59.0	78.0
This study	unknown	is019b	is019	FS-FD:SO-NO	pmagpy-2.190	171.0	5.0	59.0	57.0
This study	unknown	is019c	is019	FS-FD:SO-NO	pmagpy-2.190	165.0	5.0	59.0	54.0
This study	unknown	is019d	is019	FS-FD:SO-NO	pmagpy-2.190	183.0	5.0	59.0	67.0
This study	unknown	is019e	is019	FS-FD:SO-NO	pmagpy-2.190	254.0	5.0	59.0	38.0
This study	unknown	is019f	is019	FS-FD:SO-NO	pmagpy-2.190	240.0	5.0	59.0	84.0
This study	unknown	is020a	is020	FS-FD:SO-NO	pmagpy-2.190	206.0	5.0	59.0	62.0
This study	unknown	is020b	is020	FS-FD:SO-NO	pmagpy-2.190	232.0	5.0	59.0	54.0
This study	unknown	is020c	is020	FS-FD:SO-NO	pmagpy-2.190	209.0	5.0	59.0	80.0
This study	unknown	is020d	is020	FS-FD:SO-NO	pmagpy-2.190	190.0	5.0	59.0	78.0
This study	unknown	is020e	is020	FS-FD:SO-NO	pmagpy-2.190	257.0	5.0	59.0	74.0
This study	unknown	is020f	is020	FS-FD:SO-NO	pmagpy-2.190	259.0	5.0	59.0	78.0
This study	unknown	is020g	is020	FS-FD:SO-NO	pmagpy-2.190	231.0	5.0	59.0	47.0
This study	unknown	is020h	is020	FS-FD:SO-NO	pmagpy-2.190	225.0	5.0	59.0	59.0
This study	unknown	is021a	is021	FS-FD:SO-NO	pmagpy-2.190	219.0	5.0	59.0	56.0
This study	unknown	is021b	is021	FS-FD:SO-NO	pmagpy-2.190	191.0	5.0	59.0	78.0
This study	unknown	is021c	is021	FS-FD:SO-NO	pmagpy-2.190	207.0	5.0	59.0	62.0
This study	unknown	is021d	is021	FS-FD:SO-NO	pmagpy-2.190	255.0	5.0	59.0	73.0
This study	unknown	is021e	is021	FS-FD:SO-NO	pmagpy-2.190	271.0	5.0	59.0	77.0
This study	unknown	is021f	is021	FS-FD:SO-NO	pmagpy-2.190	234.0	5.0	59.0	75.0
This study	unknown	is021g	is021	FS-FD:SO-NO	pmagpy-2.190	206.0	5.0	59.0	80.0
This study	unknown	is021h	is021	FS-FD:SO-NO	pmagpy-2.190	215.0	5.0	59.0	58.0
This study	unknown	is021i	is021	FS-FD:SO-NO	pmagpy-2.190	192.0	5.0	59.0	80.0
This study	unknown	is021j	is021	FS-FD:SO-NO	pmagpy-2.190	197.0	5.0	59.0	31.0
This study	unknown	is021k	is021	FS-FD:SO-NO	pmagpy-2.190	205.0	5.0	59.0	34.0
This study	unknown	is022a	is022	FS-FD:SO-NO	pmagpy-2.190	238.0	5.0	59.0	71.0
This study	unknown	is022b	is022	FS-FD:SO-NO	pmagpy-2.190	222.0	5.0	59.0	67.0
This study	unknown	is022c	is022	FS-FD:SO-NO	pmagpy-2.190	201.0	5.0	59.0	63.0
This study	unknown	is022d	is022	FS-FD:SO-NO	pmagpy-2.190	165.0	5.0	59.0	89.0
This study	unknown	is022e	is022	FS-FD:SO-NO	pmagpy-2.190	200.0	5.0	59.0	80.0
This study	unknown	is022f	is022	FS-FD:SO-NO	pmagpy-2.190	257.0	5.0	59.0	57.0
This study	unknown	is022g	is022	FS-FD:SO-NO	pmagpy-2.190	256.0	5.0	59.0	101.0
This study	unknown	is022h	is022	FS-FD:SO-NO	pmagpy-2.190	203.0	5.0	59.0	94.0
This study	unknown	is022i	is022	FS-FD:SO-NO	pmagpy-2.190	243.0	5.0	59.0	72.0
This study	unknown	is022j	is022	FS-FD:SO-NO	pmagpy-2.190	258.0	5.0	59.0	64.0
This study	unknown	is023a	is023	FS-FD:SO-NO	pmagpy-2.190	183.0	5.0	59.0	82.0
This study	unknown	is023b	is023	FS-FD:SO-NO	pmagpy-2.190	176.0	5.0	59.0	90.0
This study	unknown	is023c	is023	FS-FD:SO-NO	pmagpy-2.190	215.0	5.0	59.0	79.0
This study	unknown	is023d	is023	FS-FD:SO-NO	pmagpy-2.190	212.0	5.0	59.0	75.0
This study	unknown	is023e	is023	FS-FD:SO-NO	pmagpy-2.190	243.0	5.0	59.0	60.0
This study	unknown	is023g	is023	FS-FD:SO-NO	pmagpy-2.190	240.0	5.0	59.0	87.0
This study	unknown	is023h	is023	FS-FD:SO-NO	pmagpy-2.190	283.0	5.0	59.0	3.0
This study	unknown	is023i	is023	FS-FD:SO-NO	pmagpy-2.190	187.0	5.0	59.0	77.0
This study	unknown	is023j	is023	FS-FD:SO-NO	pmagpy-2.190	221.0	5.0	59.0	93.0
This study	unknown	is023k	is023	FS-FD:SO-NO	pmagpy-2.190	212.0	5.0	59.0	87.0
This study	unknown	is023l	is023	FS-FD:SO-NO	pmagpy-2.190	194.0	5.0	59.0	60.0
This study	unknown	is023m	is023	FS-FD:SO-NO	pmagpy-2.190	234.0	5.0	59.0	78.0
This study	unknown	is024a	is024	FS-FD:SO-NO	pmagpy-2.190	283.0	5.0	59.0	25.0
This study	unknown	is024b	is024	FS-FD:SO-NO	pmagpy-2.190	226.0	5.0	59.0	77.0
This study	unknown	is024c	is024	FS-FD:SO-NO	pmagpy-2.190	220.0	5.0	59.0	87.0
This study	unknown	is024d	is024	FS-FD:SO-NO	pmagpy-2.190	275.0	5.0	59.0	60.0
This study	unknown	is024e	is024	FS-FD:SO-NO	pmagpy-2.190	216.0	5.0	59.0	72.0
This study	unknown	is024f	is024	FS-FD:SO-NO	pmagpy-2.190	261.0	5.0	59.0	98.0
This study	unknown	is024g	is024	FS-FD:SO-NO	pmagpy-2.190	215.0	5.0	59.0	92.0
This study	unknown	is024h	is024	FS-FD:SO-NO	pmagpy-2.190	221.0	5.0	59.0	83.0
This study	unknown	is024i	is024	FS-FD:SO-NO	pmagpy-2.190	193.0	5.0	59.0	70.0
This study	unknown	is024j	is024	FS-FD:SO-NO	pmagpy-2.190	238.0	5.0	59.0	51.0
This study	unknown	is024k	is024	FS-FD:SO-NO	pmagpy-2.190	238.0	5.0	59.0	51.0
This study	unknown	is024l	is024	FS-FD:SO-NO	pmagpy-2.190	241.0	5.0	59.0	36.0
This study	unknown	is024m	is024	FS-FD:SO-NO	pmagpy-2.190	278.0	5.0	59.0	92.0
This study	unknown	is024n	is024	FS-FD:SO-NO	pmagpy-2.190	272.0	5.0	59.0	90.0
This study	unknown	is024o	is024	FS-FD:SO-NO	pmagpy-2.190	285.0	5.0	59.0	87.0
This study	unknown	is024p	is024	FS-FD:SO-NO	pmagpy-2.190	267.0	5.0	59.0	97.0
This study	unknown	is025a	is025	FS-FD:SO-NO	pmagpy-2.190	182.0	5.0	59.0	17.0
This study	unknown	is025b	is025	FS-FD:SO-NO	pmagpy-2.190	247.0	5.0	59.0	65.0
This study	unknown	is025c	is025	FS-FD:SO-NO	pmagpy-2.190	183.0	5.0	59.0	61.0
This study	unknown	is025d	is025	FS-FD:SO-NO	pmagpy-2.190	219.0	5.0	59.0	56.0
This study	unknown	is025e	is025	FS-FD:SO-NO	pmagpy-2.190	224.0	5.0	59.0	59.0
This study	unknown	is025f	is025	FS-FD:SO-NO	pmagpy-2.190	250.0	5.0	59.0	71.0
